Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
Georgia,Lowndes,8,10,11,12,16,20,20,20,21,24,25,28
Georgia,Lumpkin,2,3,3,4,4,4,4,4,8,7,7,7
Georgia,McDuffie,0,0,0,0,0,1,1,1,3,3,4,5
Georgia,McIntosh,0,0,0,0,0,0,0,0,1,1,1,2
Georgia,Macon,0,1,1,1,1,1,1,1,2,2,2,2
Georgia,Madison,1,1,1,2,3,3,3,3,3,3,4,5
Georgia,Marion,0,0,0,0,0,0,0,0,0,0,0,1
Georgia,Meriwether,0,1,1,1,3,3,5,6,6,7,9,10
Georgia,Miller,1,1,2,2,2,4,4,4,4,4,4,5
Georgia,Mitchell,0,3,4,10,14,14,15,15,31,38,39,43
Georgia,Monroe,1,3,3,3,3,3,3,3,4,6,6,6
Georgia,Montgomery,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,Morgan,1,1,1,1,1,1,1,1,2,2,2,2
Georgia,Murray,0,0,0,0,0,2,3,3,4,5,6,7
Georgia,Muscogee,2,3,4,5,8,8,8,12,20,21,25,30
Georgia,Newton,4,5,7,10,15,15,17,18,31,32,36,40
Georgia,Oconee,3,5,5,7,10,10,11,11,15,17,18,19
Georgia,Oglethorpe,0,0,0,0,0,0,0,0,1,1,1,1
Georgia,Paulding,5,6,6,7,12,19,23,24,30,32,33,42
Georgia,Peach,3,3,4,5,6,6,6,7,7,7,7,9
Georgia,Pickens,2,4,4,4,4,5,5,6,6,7,8,9
Georgia,Pierce,1,1,1,1,1,1,2,2,3,5,10,14
Georgia,Pike,0,0,0,0,0,1,2,2,2,2,2,3
Georgia,Polk,4,8,8,10,10,10,10,12,15,16,16,16
Georgia,Pulaski,0,1,1,1,1,2,3,3,3,4,4,6
Georgia,Putnam,0,0,0,0,0,0,0,0,0,0,2,2
Georgia,Quitman,0,0,0,0,0,0,0,0,0,0,0,1
Georgia,Rabun,0,0,0,0,0,0,0,0,2,2,2,2
Georgia,Randolph,1,1,1,1,3,3,3,3,5,5,4,8
Georgia,Richmond,11,11,11,10,11,12,12,13,40,41,41,50
Georgia,Rockdale,4,7,9,12,16,17,18,18,36,45,54,63
Georgia,Schley,0,0,0,0,0,0,0,1,5,4,3,4
Georgia,Screven,0,0,0,0,0,0,0,0,1,2,2,2
Georgia,Seminole,0,0,2,2,2,3,3,5,8,6,6,6
Georgia,Spalding,4,5,6,11,11,11,12,12,13,16,18,23
Georgia,Stephens,0,1,2,1,1,2,3,3,4,5,5,5
Georgia,Stewart,0,0,0,0,0,0,0,0,1,1,1,1
Georgia,Sumter,2,2,5,5,10,11,15,16,33,37,45,59
Georgia,Talbot,0,0,0,0,0,0,0,0,1,1,1,2
Georgia,Taliaferro,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,Tattnall,1,1,1,2,2,2,2,2,2,2,2,3
Georgia,Taylor,0,0,1,1,1,1,1,1,2,2,2,2
Georgia,Telfair,0,0,1,0,0,0,0,0,0,0,0,2
Georgia,Terrell,2,3,3,5,6,6,10,12,40,46,46,50
Georgia,Thomas,0,0,1,1,3,6,7,7,9,11,15,17
Georgia,Tift,2,2,5,5,11,13,13,19,19,24,28,30
Georgia,Toombs,0,0,0,1,1,1,1,2,3,2,4,5
Georgia,Towns,0,0,0,0,0,0,0,0,0,0,0,1
Georgia,Treutlen,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,Troup,4,6,6,10,11,9,9,11,16,19,20,26
Georgia,Turner,1,1,1,2,2,2,2,3,3,4,5,12
