County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
string,number,number,number,number,number,number,number,number,number,number,number,number
Baker,0,0,0,0,0,0,0,0,0,0,0,0
Benton,4,4,6,6,6,8,8,9,12,13,15,17
Clackamas,14,17,21,21,31,36,39,40,50,56,61,66
Clatsop,0,1,1,2,2,3,3,3,3,3,3,4
Columbia,0,0,0,0,1,1,1,1,1,1,1,1
Coos,0,0,0,0,0,0,0,0,0,0,0,0
Crook,0,0,0,0,0,0,0,0,0,0,0,1
Curry,0,0,0,0,0,0,0,0,0,0,0,0
Deschutes,10,10,10,15,18,20,23,25,24,27,32,36
Douglas,1,1,3,3,4,4,4,8,9,10,9,9
Gilliam,0,0,0,0,0,0,0,0,0,0,0,0
Grant,1,1,1,1,1,1,1,1,1,1,1,1
Harney,0,0,0,0,0,0,0,0,0,0,0,0
Hood River,1,1,1,1,1,1,2,2,3,2,3,3
Jackson,2,3,4,4,6,8,19,20,21,22,27,27
Jefferson,0,0,0,0,0,0,0,0,0,0,0,0
Josephine,1,1,2,4,4,5,6,10,10,10,12,12
Klamath,1,1,1,1,2,2,4,4,5,5,8,13
Lake,0,0,0,0,0,0,0,0,0,0,0,0
Lane,4,4,5,7,10,9,10,12,16,18,21,21
Lincoln,0,0,1,1,1,1,1,1,2,3,4,4
Linn,20,21,25,26,28,32,36,36,37,37,37,37
Malheur,0,0,0,0,0,0,0,0,1,1,1,2
Marion,30,32,43,57,83,94,109,123,141,151,164,178
Morrow,0,0,0,0,1,1,1,1,1,1,1,2
Multnomah,21,25,33,45,67,81,91,100,116,134,160,175
Polk,3,3,3,6,10,11,13,15,18,18,18,20
Sherman,0,0,0,0,0,0,0,0,0,0,0,0
Tillamook,0,0,0,1,1,1,2,3,3,3,3,3
Umatilla,2,2,2,2,3,4,4,4,5,5,5,5
Union,1,1,1,1,1,1,1,1,1,1,3,3
Wallowa,0,0,0,0,0,0,0,0,1,1,1,1
Wasco,0,0,0,1,2,2,3,5,7,7,7,7
Washington,69,76,96,104,122,140,154,168,186,189,211,228
Wheeler,0,0,0,0,0,0,0,0,0,0,0,0
Yamhill,6,6,7,7,11,13,13,14,16,17,18,23
Out of OR,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,0,0,0,0,0,0,0,0,0,0
