Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
District of Columbia,District of Columbia,2,2,2,3,3,4,5,9
District of Columbia,Out of DC,0,0,0,0,0,0,0,0
District of Columbia,Unassigned,0,0,0,0,0,0,0,0
